feature,ks_stat,ks_pvalue,metric
Tela 01_part_1,0.0056022408963585435,1.0,KS
Tela 02_part_1,0.056022408963585436,0.9940205511021377,KS
Tela 02_part_2,0.8983050847457628,1.9154576808529224e-46,KS
Tela 02_part_3,0.8955039642975834,5.183171029930746e-46,KS
Tela 02_part_4,0.025210084033613446,0.9999999999994207,KS
Tela 02_part_5,0.576271186440678,2.5139622940471165e-16,KS
Tela 02_part_6,0.576271186440678,2.5139622940471165e-16,KS
Tela 02_part_7,0.0896358543417367,0.771214412445466,KS
Tela 02_part_8,0.16469638702938802,0.11283494642243833,KS
Tela 02_part_9,0.03389830508474576,0.9999998186104706,KS
Tela 02_part_10,0.7796610169491526,5.470652171482141e-32,KS
Tela 02_part_11,0.8899017234012249,3.637084782104686e-45,KS
Tela 02_part_12,0.1623225561411005,0.12242293042503768,KS
Tela 02_part_13,0.24578645017328965,0.0034839754462830702,KS
Tela 02_part_14,0.01694915254237288,1.0,KS
Tela 03_part_1,0.0784313725490196,0.8856543527035187,KS
Tela 07_part_1,0.03361344537815126,0.9999998577736217,KS
Tela 07_part_2,0.9495798319327731,1.0189408168708896e-55,KS
Tela 07_part_3,0.9355742296918768,8.37161628358034e-53,KS
Tela 07_part_4,0.938375350140056,2.3391459453030307e-53,KS
Tela 07_part_5,0.09523809523809523,0.7058762984715732,KS
Tela 07_part_6,0.938375350140056,2.3391459453030307e-53,KS
Tela 07_part_7,0.907563025210084,7.166492403274737e-48,KS
Tela 10_part_1,0.0784313725490196,0.8856543527035187,KS
Tela 10_part_2,0.9663865546218487,7.94954975037199e-60,KS
Tela 10_part_3,0.9523809523809523,2.379100335582891e-56,KS
Tela 10_part_4,0.9859943977591037,4.73335972486684e-66,KS
Tela 10_part_5,0.9607843137254902,2.2968077976570198e-58,KS
Tela 10_part_6,0.028011204481792718,0.9999999998807971,KS
Tela 10_part_7,0.9411764705882353,6.333240790581511e-54,KS
Tela 13_part_1,0.08123249299719888,0.8599369473438472,KS
Tela 13_part_2,0.932488249537103,3.1088037741328867e-52,KS
Tela 15_part_1,0.01680672268907563,1.0,KS
Tela 15_part_2,0.870863599677159,2.2009966929307576e-42,KS
Tela 17_part_1,0.011204481792717087,1.0,KS
Tela 17_part_2,0.7504154204054503,3.1635836482335973e-29,KS
Tela 19_part_1,0.12324929971988796,0.3887751682289372,KS
Tela 19_part_2,0.9379480605801642,2.4495460177012324e-53,KS
Tela 21_part_1,0.09523809523809523,0.7058762984715732,KS
Tela 21_part_2,0.8673503299624935,5.358153625259924e-42,KS
Tela 23_part_1,0.11204481792717087,0.5071732800330209,KS
Tela 23_part_2,0.8137017518871955,1.6051224239681133e-35,KS
Tela 25_part_1,0.09523809523809523,0.7058762984715732,KS
Tela 25_part_2,0.6440677966101694,1.0276988291273622e-20,KS
Tela 25_part_3,0.932488249537103,3.1088037741328867e-52,KS
Tela 25_part_4,0.836253145325927,4.263530115521141e-38,KS
Tela 25_part_5,0.6775862887527893,3.5984597546921794e-23,KS
Tela 25_part_6,0.8899017234012249,3.637084782104686e-45,KS
Tela 25_part_7,0.7224042159236576,9.015878845474199e-27,KS
Tela 25_part_8,0.7140008545791198,4.568801337509322e-26,KS
Tela 25_part_9,0.9124531168399563,1.0410975554305275e-48,KS
Tela 25_part_10,0.8277073541280919,4.156580828989629e-37,KS
Tela 25_part_11,0.6440677966101694,1.0276988291273622e-20,KS
Tela 25_part_12,0.836253145325927,4.263530115521141e-38,KS
Tela 25_part_13,0.6803874092009685,2.1984631733918695e-23,KS
Tela 25_part_14,0.5142192470208422,6.978981517406475e-13,KS
Tela 25_part_15,0.0056022408963585435,1.0,KS
Tela 26_part_1,0.08123249299719888,0.8599369473438472,KS
Tela 26_part_2,0.5254237288135594,1.8368407183301075e-13,KS
Tela 26_part_3,0.8927028438494041,1.3825379277077394e-45,KS
Tela 26_part_4,0.7627118644067796,2.3796953923798214e-30,KS
Tela 26_part_5,0.5877605279399896,5.075338490777604e-17,KS
Tela 26_part_6,0.5264207377866401,1.6743110658206723e-13,KS
Tela 26_part_7,0.49114561078668756,1.0651248174464823e-11,KS
Tela 27_part_1,0.058823529411764705,0.9894805500767164,KS
Tela 27_part_2,0.9803921568627451,4.8347910346570476e-64,KS
Tela 28_part_1,0.025210084033613446,0.9999999999994207,KS
Tela 28_part_2,0.9238000284859706,1.152670849070564e-50,KS
Tela 28_part_3,0.5031571950814224,2.4960612221277164e-12,KS
Tela 28_part_4,0.6610169491525424,6.350512533334905e-22,KS
Tela 28_part_5,0.559322033898305,2.4771856434250892e-15,KS
Tela 28_part_6,0.5000712149266486,3.6322165321965146e-12,KS
Tela 28_part_7,0.4752884204529269,5.501238086198383e-11,KS
Tela 28_part_8,0.4745762711864407,6.155623265324299e-11,KS
Tela 29_part_1,0.0392156862745098,0.9999888620419208,KS
Tela 29_part_2,0.06442577030812324,0.973742456265589,KS
Tela 29_part_3,0.0056022408963585435,1.0,KS
Tela 29_part_4,0.056022408963585436,0.9940205511021377,KS
Tela 29_part_5,0.06162464985994398,0.9828447539508647,KS
Tela 30_part_1,0.03081232492997199,0.9999999935202134,KS
Tela 30_part_2,0.8595166880311447,6.890530989941299e-41,KS
Tela 31_part_1,0.07282913165266107,0.9294751844653104,KS
Tela 31_part_2,0.8786972416085078,1.531872870390828e-43,KS
Tela 31_part_3,0.9322033898305084,3.1088061513016486e-52,KS
Tela 31_part_4,0.5932203389830508,2.325811132991905e-17,KS
Tela 31_part_5,0.8418553862222855,8.993427093770763e-39,KS
Tela 31_part_6,0.5701467027488961,6.45504643157393e-16,KS
Tela 31_part_7,0.5823007168969283,1.1081885257222434e-16,KS
Tela 32_part_1,0.09523809523809523,0.7058762984715732,KS
Tela 32_part_2,0.0,1.0,KS
Tela 32_part_3,0.12044817927170869,0.41675305547689107,KS
Tela 33_part_1,0.0,1.0,KS
Tela 33_part_2,0.988795518207283,3.697937285052218e-67,KS
Tela 33_part_3,0.8571428571428571,9.36269229173428e-41,KS
Tela 33_part_4,0.8907563025210085,2.626534556290687e-45,KS
Tela 33_part_5,0.9831932773109243,5.127806368605742e-65,KS
Tela 41_part_1,0.06162464985994398,0.9828447539508647,KS
Tela 41_part_2,0.9097944262450743,3.0564395516344256e-48,KS
Tela 41_part_3,0.616768741394863,8.279816902565859e-19,KS
Tela 41_part_4,0.559322033898305,2.4771856434250892e-15,KS
Tela 41_part_5,0.5442244694487964,2.017165926245955e-14,KS
Tela 41_part_6,0.5935051986896454,2.2672464941624527e-17,KS
Tela 41_part_7,0.5635474528794568,1.6040717046710357e-15,KS
Tela 41_part_8,0.5423728813559322,2.2297273320075903e-14,KS
Tela 42_part_1,0.0896358543417367,0.771214412445466,KS
Tela 42_part_2,0.6440677966101694,1.0276988291273622e-20,KS
Tela 42_part_3,0.7288135593220338,2.7127278976786937e-27,KS
Tela 42_part_4,0.7910079285951669,3.985355063536055e-33,KS
Tela 42_part_5,0.8305084745762712,1.9601471382856913e-37,KS
Tela 43_part_1,0.0700280112044818,0.947158589242729,KS
Tela 43_part_2,0.7796610169491526,5.470652171482141e-32,KS
Tela 43_part_3,0.8738071499786355,8.28914470595029e-43,KS
Tela 43_part_4,0.6101694915254238,1.9568851177370332e-18,KS
Tela 43_part_5,0.7910079285951669,3.985355063536055e-33,KS
Tela 43_part_6,0.847457627118644,1.8370322676659778e-39,KS
Tela 43_part_7,0.8008355884726772,4.106055196094801e-34,KS
Tela 43_part_8,0.700659924986944,6.048956289409467e-25,KS
Tela 43_part_9,0.847457627118644,1.8370322676659778e-39,KS
Tela 43_part_10,0.8710060295304562,1.9797782960737382e-42,KS
Tela 43_part_11,0.9491525423728814,1.0375152683644403e-55,KS
Tela 43_part_12,0.6779661016949152,3.4977489494707947e-23,KS
Tela 43_part_13,0.9464938517779994,4.28940491070193e-55,KS
Tela 43_part_14,0.7774296159141623,1.0390358927334277e-31,KS
Tela 43_part_15,0.8135593220338984,1.6051224239681133e-35,KS
Tela 43_part_16,0.8814983620566871,6.124803399288742e-44,KS
Tela 43_part_17,0.9299719887955182,9.826103441269578e-52,KS
Tela 43_part_18,0.8955039642975834,5.183171029930746e-46,KS
Tela 43_part_19,0.8935574229691877,1.0185509866093673e-45,KS
Tela 43_part_20,0.711864406779661,7.288000176216658e-26,KS
