feature,ks_stat,ks_pvalue,metric
Tela 01_part_1,0.022222222222222223,1.0,KS
Tela 02_part_1,0.02666666666666667,0.9999999999824455,KS
Tela 02_part_2,0.7916384180790961,2.342993113295751e-34,KS
Tela 02_part_3,0.8983050847457628,1.7791027016379916e-48,KS
Tela 02_part_4,0.013333333333333334,1.0,KS
Tela 02_part_5,0.5384934086629002,1.4423551155300283e-14,KS
Tela 02_part_6,0.5384934086629002,1.4423551155300283e-14,KS
Tela 02_part_7,0.0022222222222222222,1.0,KS
Tela 02_part_8,0.2944256120527307,0.0001668686281932674,KS
Tela 02_part_9,0.4661016949152542,7.349391531893595e-11,KS
Tela 02_part_10,0.7085499058380414,2.197452117291823e-26,KS
Tela 02_part_11,0.6694161958568738,3.297735750407953e-23,KS
Tela 02_part_12,0.21638418079096045,0.012526100262001965,KS
Tela 02_part_13,0.1952542372881356,0.03192053054597011,KS
Tela 02_part_14,0.191939736346516,0.03664330937933904,KS
Tela 03_part_1,0.013333333333333334,1.0,KS
Tela 07_part_1,0.017777777777777778,1.0,KS
Tela 07_part_2,0.7311111111111112,2.2211954513149876e-28,KS
Tela 07_part_3,0.68,4.643846580161903e-24,KS
Tela 07_part_4,0.6977777777777778,1.6904385688465302e-25,KS
Tela 07_part_5,0.028888888888888888,0.999999999303275,KS
Tela 07_part_6,0.7466666666666667,8.163401911652463e-30,KS
Tela 07_part_7,0.6688888888888889,3.4227295893713936e-23,KS
Tela 10_part_1,0.024444444444444446,0.9999999999998384,KS
Tela 10_part_2,0.8266666666666667,2.5251136771476397e-38,KS
Tela 10_part_3,0.6688888888888889,3.4227295893713936e-23,KS
Tela 10_part_4,0.7555555555555555,1.158550674323932e-30,KS
Tela 10_part_5,0.5422222222222223,8.693561042876875e-15,KS
Tela 10_part_6,0.02,1.0,KS
Tela 10_part_7,0.6977777777777778,1.6904385688465302e-25,KS
Tela 13_part_1,0.02,1.0,KS
Tela 13_part_2,0.7816572504708098,2.9165948058926976e-33,KS
Tela 15_part_1,0.015555555555555555,1.0,KS
Tela 15_part_2,0.7127683615819209,9.511061019991944e-27,KS
Tela 17_part_1,0.015555555555555555,1.0,KS
Tela 17_part_2,0.7772128060263653,8.408241112831467e-33,KS
Tela 19_part_1,0.028888888888888888,0.999999999303275,KS
Tela 19_part_2,0.7780414312617703,6.877736194253236e-33,KS
Tela 21_part_1,0.015555555555555555,1.0,KS
Tela 21_part_2,0.7724670433145009,2.3958382552007792e-32,KS
